RowName,Cname,Ctext,CurIdx,FocusCharacter,Command
0,,"좌표를 따라 이동하던 중, 통로 구석에 웅크린 그림자를 발견했다.",0,0,0
1,카엘리스,...아군 식별 신호 확인. 코드네임 '베타'.\n처음 보는 코드다.,1,0,4
2,카엘리스,슈트의 마모도와 구형 인식표에 새겨진 숫자…\n수십 번의 시간여행을 견뎌낸 '베테랑'의 표식이다.,2,0,0
3,,상당한 실력자였음이 분명하다.\n하지만 등 뒤에서 가해진 치명상은\n그조차 반응할 수 없었던 기습이었음을 말해준다.,3,0,0
4,카엘리스,다행히 기록 장치는 멀쩡하군.,4,0,0
5,시스템 음성,데이터 복구 완료.\n요원 '베타'의 로그를 재생합니다.,5,0,0
6,,기록에서 흘러나오는 목소리는 베테랑답게 여유롭고 차분했다.,6,0,0
7,요원 베타,...파견 10일 차.\n현지인들과의 접촉을 시도했다. 대상은 '염윤'이라는 무사와 그를 돕는 무녀다.,7,0,0
8,요원 베타,본부의 매뉴얼에서는 현지인과 깊게 엮이지 말라고 경고하지만…\n나는 그 지침을 좋아하지 않는다.,8,0,0
9,요원 베타,"언제부터일까, 난 늘 이래왔다.\n꽉 막힌 데이터보다는 사람과 부대끼며 신뢰를 쌓는 게,\n경험상 훨씬 효율이 좋았거든. 일종의 베테랑의 감이랄까.",9,0,0
10,요원 베타,"이번에도 내 방식을 따르겠다.\n서두르지 않고 그들의 곁에 머물며,\n닫힌 마음을 여는 것부터 시작하려 한다.",10,0,0
11,시스템 음성,다음 로그를 재생합니다.,11,0,0
12,,"이어지는 기록에서는 이전보다 한층 부드러워진, 묘한 확신에 찬 목소리가 흘러나왔다.",12,0,0
13,요원 베타,"...파견 25일 차.\n나의 진심이 통했는지, 염윤이 자신의 과거를 털어놓았다.",13,0,0
14,요원 베타,"전쟁의 업보로 악령을 봉인하고 속죄하는 삶…\n괴로워하면서도 타인을 위해 희생하는 그 모습에서, 나는 묘한 동질감을 느꼈다.",14,0,0
15,요원 베타,"마치, 보이지 않는 곳에서 인류를 수호하는\n우리 요원들의 숙명과 닮아있지 않은가.",15,0,0
16,요원 베타,"그라면... 그래, 그라면 나의 이 무거운 사명감도 이해해 줄 것이다.\n나는 그를 믿고 내 정체와 임무에 대해 이야기했다.",16,0,0
17,카엘리스,감정에 치우쳐 기밀을 공유했군.\n베테랑이라도 인간적인 고독은 어쩔 수 없었던 건가.,17,0,0
18,시스템 음성,마지막 로그를 재생합니다.,18,0,0
19,,마지막 기록에 담긴 베타의 목소리에는\n평소와 다르게 거친 숨소리와 피가 끓는 소리가 가득했다.,19,0,0
20,요원 베타,...크윽... 내 판단이... 틀렸어.,20,0,0
21,요원 베타,염윤이... 폭주했다. 하지만 이건 자연적인 현상이 아니야.\n누군가 외부에서 그의 악령을 자극했다.,21,0,0
22,요원 베타,"그 타이밍에... 내 등 뒤에 있었던 건 단 한 사람.\n무녀, 그녀뿐이었다.",22,0,0
23,요원 베타,"내 진심을 듣고도... 우리가 염윤에게 위협이 된다고 판단한 건가?\n아니면, 애초에 인간 자체를 증오했던 건가...",23,0,0
24,,"목소리는 점점 힘을 잃어가며, 가늘게 떨리고 있었다.",24,0,0
25,요원 베타,그녀의 그 차가운 눈빛... \n이젠 물어볼 수도 없겠군.. 어떻게 해야 했을까…,25,0,0
26,시스템 음성,재생이 종료되었습니다.,26,0,0
27,카엘리스,"...베타의 기록이 사실이라면,\n염윤은 폭주한 것이 아니라 폭주 '당한' 것이 된다.",27,0,4
28,카엘리스,"그리고 현장에서 그럴 능력을 가진 자는,\n베타가 지목한 그 무녀가 가장 유력하겠군.",28,0,0
29,,그렇다면 그녀야말로 내가 찾던 영적인 힘을 다루는 '진짜' 목표일 가능성이 높다.,29,0,0
30,카엘리스,사람의 신뢰를 이용해 죽음으로 몰아넣었다…\n확인해 볼 필요가 있겠어.,30,0,0
31,,"지금은 물자 부족으로 복귀하지만, 이 좌표는 기억해둬야 한다.",31,0,0
32,카엘리스,...언젠가 다시 오게 될 것이다. 그때는 그녀에게 대신 물어봐야겠지.\n베타의 방식이 정말 틀렸던 것인지.,32,0,0
33,,"나는 베타의 인식표를 챙겨, 씁쓸한 뒷맛을 삼키며 포탈로 몸을 던졌다.",33,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
