RowName,Cname,Ctext,CurIdx,FocusCharacter,Command
0,,후두부에서 뜨거운 액체가 흐르는게 느껴진다. 출혈이 있는듯하다.,0,2,0
1,,임무 중 피격을 당한 듯하다. 상황 파악이 안된다.,1,2,0
2,카엘리스,데이터 기록은… 손상되었군… 이탈해야 해. 치료가 급선무다.,2,0,0
3,카엘리스,빨리 이곳을 벗어나서 치료하지 않으면…,3,0,0
4,,"걸음을 옮기려는 찰나, 허리춤의 단말기에서 날카로운 기계음이 고막을 찌른다.",4,2,0
5,,(치이익— 삐-!),5,2,0
6,카엘리스,"통신…? 통신 연결 확인. 여기는 카엘리스, 응답 바란다.",6,0,0
7,,"통신 채널 너머, 미세한 타자 소리와 인기척이 들려온다.",7,2,0
8,???,…카엘리스? 채널이 어째서 이쪽으로…,8,1,0
9,,누구지? 뇌리에 스치는 기시감... 음성 데이터가 낯설지 않다.,9,2,0
10,카엘리스,귀하는 누구지? 신원을 밝혀라.,10,0,0
11,???,...카엘리스? 그게 무슨 소리지? ...아. 통신 오류인가. 현 상황을 보고해라. 작전 구역 이탈인가?,11,1,0
12,,통신기 단말에서는 '주파수 감식결과: 아군'이라 나온다. 작전 보조 오퍼레이터인 모양이다.,12,2,0
13,카엘리스,작전 중 부상을 입어서 기록 데이터가 손상되었고… 나도 기억이 잘 나질 않는다…,13,0,0
14,카엘리스,현재 상황으로는 작전 진행이 어렵다. 복귀를 요청한다.,14,0,0
15,,통신화면 너머의 여성은 타자를 치다가 나의 말을 듣고 멈칫하더니 다시 타자를 친다.,15,2,0
16,세령,"기억 상실인가… 상황이 좋지 않군. 나는 세령. 카엘리스, 현재 네가 있는 곳은 차원공간이다.",16,1,0
17,카엘리스,차원공간… 시간여행의 과정 중 경유하는 공간… 이 맞나?,17,0,0
18,세령,그건 기억하는군. 아무래도 차원에 균열을 내서 만들어낸 공간의 영향으로 부상에 의해 기억을 잃은 듯하다.,18,1,0
19,,세령이란 여성은 대화를 이어가며 무언가 입력하고 있다.,19,2,0
20,세령,본부쪽에서 귀환시키는 방법은 현재 불가능하다. 아무래도 부상을 입으면서 장비에 이상이 있는 듯하다.,20,1,0
21,카엘리스,그럼 다른 복귀 방법은?,21,0,0
22,세령,기존의 파견되었던 요원들이 설치해둔 장비들을 이용하는 방법이 남아있다.,22,1,0
23,카엘리스,그 말은…?,23,0,0
24,카엘리스,사실상 임무를 완수하는 것 밖에는 답이 없군. 작전 정보를 재전송해라.,24,0,0
25,세령,알겠다. 현재 위치한 차원공간을 벗어나면 목표시대인 창세기 시대에 도착하게 된다.,25,1,0
26,세령,목표는 그곳에 있는 고대 마법에 대한 데이터를 기록이다.,26,1,0
27,세령,"단, 창세기 최강의 마검사 에이드린과의 교전은 피하도록.",27,1,0
28,카엘리스,데이터를 수집하는 방법은?,28,0,0
29,세령,느리지만 가장 안전한 방법은 마법을 관찰하는 방법이다. 빠르게 수집하려면…,29,1,0
30,세령,고대 마법을 사용하는 자와의 교전이다. 다양하고 강력한 마법일 수록 빠르게 수집되지.,30,1,0
31,카엘리스,"효율적이군. 확인했다. ...잠깐, 전방에 적대 반응.",31,0,0
32,,통로 너머에 나와 복장이 비슷한 괴생명체가 배회하고 있다. 아직 나를 못 본 모양이다.,32,2,0
33,세령,전방에 존재하는 존재는 시간망령이다. 차원공간에 오래 머물러 괴물로 변해버린 인간의 말로지.,33,1,0
34,카엘리스,나도 꾸물대다간 저렇게 되겠군…,34,0,0
35,,팔찌에 빨간색 불빛이 반짝인다.,35,2,0
36,,경고! 경고! 시간왜곡이 한계치의 도달! 경고! 경고!,36,2,0
37,세령,"시간이 없다! 더 오래 있다간 너도 시간망령이 될 거다. 탈출루트를 마킹했다. 신속하게 이동해라, 카엘리스!",37,1,0
